symbol,ca,datetime_utc,open,high,low,close,volume
ApwtY1HWHgDL,ApwtY1HWHgDLDY5unJ7awPrBeQo4UwstCM83A5zFpump,2026-03-15 10:37,5.455840771052658e-05,5.702977224187164e-05,5.455840771052658e-05,5.622625898872267e-05,
ApwtY1HWHgDL,ApwtY1HWHgDLDY5unJ7awPrBeQo4UwstCM83A5zFpump,2026-03-15 10:39,5.622625898872267e-05,5.715640402457984e-05,5.622625898872267e-05,5.715640402457984e-05,
ApwtY1HWHgDL,ApwtY1HWHgDLDY5unJ7awPrBeQo4UwstCM83A5zFpump,2026-03-15 10:40,5.715640402457984e-05,5.73708202487948e-05,5.59588675964874e-05,5.59588675964874e-05,
ApwtY1HWHgDL,ApwtY1HWHgDLDY5unJ7awPrBeQo4UwstCM83A5zFpump,2026-03-15 10:41,5.59588675964874e-05,5.59588675964874e-05,5.2371343988248365e-05,5.2371343988248365e-05,
ApwtY1HWHgDL,ApwtY1HWHgDLDY5unJ7awPrBeQo4UwstCM83A5zFpump,2026-03-15 10:42,5.2371343988248365e-05,5.329989570689496e-05,4.2115912959704207e-05,4.9049009397274155e-05,
ApwtY1HWHgDL,ApwtY1HWHgDLDY5unJ7awPrBeQo4UwstCM83A5zFpump,2026-03-15 10:43,4.9049009397274155e-05,4.962506867077064e-05,4.83997729312279e-05,4.9478902230642996e-05,
ApwtY1HWHgDL,ApwtY1HWHgDLDY5unJ7awPrBeQo4UwstCM83A5zFpump,2026-03-15 10:44,4.9478902230642996e-05,5.029736005605912e-05,4.925014714336067e-05,4.925014714336067e-05,
ApwtY1HWHgDL,ApwtY1HWHgDLDY5unJ7awPrBeQo4UwstCM83A5zFpump,2026-03-15 10:45,4.925014714336067e-05,4.925014714336067e-05,4.8294321572399394e-05,4.8294321572399394e-05,
ApwtY1HWHgDL,ApwtY1HWHgDLDY5unJ7awPrBeQo4UwstCM83A5zFpump,2026-03-15 10:46,4.8294321572399394e-05,4.8294321572399394e-05,4.631810202200074e-05,4.631810202200074e-05,
ApwtY1HWHgDL,ApwtY1HWHgDLDY5unJ7awPrBeQo4UwstCM83A5zFpump,2026-03-15 10:47,4.631810202200074e-05,4.8395282315088936e-05,4.631810202200074e-05,4.8395282315088936e-05,
ApwtY1HWHgDL,ApwtY1HWHgDLDY5unJ7awPrBeQo4UwstCM83A5zFpump,2026-03-15 10:48,4.8395282315088936e-05,4.985416589353533e-05,4.794618204888706e-05,4.929293370596773e-05,
ApwtY1HWHgDL,ApwtY1HWHgDLDY5unJ7awPrBeQo4UwstCM83A5zFpump,2026-03-15 10:49,4.929293370596773e-05,5.100035104807719e-05,4.929293370596773e-05,5.100035104807719e-05,
ApwtY1HWHgDL,ApwtY1HWHgDLDY5unJ7awPrBeQo4UwstCM83A5zFpump,2026-03-15 10:50,5.100035104807719e-05,5.39326945043506e-05,4.964642831729708e-05,5.005028994195516e-05,
ApwtY1HWHgDL,ApwtY1HWHgDLDY5unJ7awPrBeQo4UwstCM83A5zFpump,2026-03-15 10:51,5.005028994195516e-05,5.077869506126185e-05,5.005028994195516e-05,5.077869506126185e-05,
ApwtY1HWHgDL,ApwtY1HWHgDLDY5unJ7awPrBeQo4UwstCM83A5zFpump,2026-03-15 10:52,5.077869506126185e-05,5.077869506126185e-05,4.960969955185258e-05,5.005056520270752e-05,
ApwtY1HWHgDL,ApwtY1HWHgDLDY5unJ7awPrBeQo4UwstCM83A5zFpump,2026-03-15 10:53,5.005056520270752e-05,5.00991492452932e-05,4.9240173229697184e-05,4.931109925219869e-05,
ApwtY1HWHgDL,ApwtY1HWHgDLDY5unJ7awPrBeQo4UwstCM83A5zFpump,2026-03-15 10:54,4.931109925219869e-05,5.004020215077239e-05,4.931109925219869e-05,5.004020215077239e-05,
ApwtY1HWHgDL,ApwtY1HWHgDLDY5unJ7awPrBeQo4UwstCM83A5zFpump,2026-03-15 10:55,5.004020215077239e-05,5.688128892466927e-05,5.004020215077239e-05,5.270500836177668e-05,
ApwtY1HWHgDL,ApwtY1HWHgDLDY5unJ7awPrBeQo4UwstCM83A5zFpump,2026-03-15 10:56,5.270500836177668e-05,5.536497216139966e-05,5.270500836177668e-05,5.536497216139966e-05,
ApwtY1HWHgDL,ApwtY1HWHgDLDY5unJ7awPrBeQo4UwstCM83A5zFpump,2026-03-15 10:57,5.536497216139966e-05,7.037144025323042e-05,5.536497216139966e-05,6.935148694977618e-05,
ApwtY1HWHgDL,ApwtY1HWHgDLDY5unJ7awPrBeQo4UwstCM83A5zFpump,2026-03-15 10:58,6.935148694977618e-05,6.935148694977618e-05,6.035275462029122e-05,6.135750798535009e-05,
ApwtY1HWHgDL,ApwtY1HWHgDLDY5unJ7awPrBeQo4UwstCM83A5zFpump,2026-03-15 10:59,6.135750798535009e-05,6.135750798535009e-05,5.888280732610726e-05,6.02538489404437e-05,
ApwtY1HWHgDL,ApwtY1HWHgDLDY5unJ7awPrBeQo4UwstCM83A5zFpump,2026-03-15 11:00,6.02538489404437e-05,6.02538489404437e-05,5.486552541124923e-05,5.699608669683949e-05,
ApwtY1HWHgDL,ApwtY1HWHgDLDY5unJ7awPrBeQo4UwstCM83A5zFpump,2026-03-15 11:01,5.699608669683949e-05,5.699608669683949e-05,5.423492650079394e-05,5.499491501614786e-05,
ApwtY1HWHgDL,ApwtY1HWHgDLDY5unJ7awPrBeQo4UwstCM83A5zFpump,2026-03-15 11:02,5.499491501614786e-05,5.563689541752459e-05,5.431115396910032e-05,5.563689541752459e-05,
ApwtY1HWHgDL,ApwtY1HWHgDLDY5unJ7awPrBeQo4UwstCM83A5zFpump,2026-03-15 11:03,5.563689541752459e-05,6.0209584832777765e-05,5.487506512680605e-05,6.0209584832777765e-05,
ApwtY1HWHgDL,ApwtY1HWHgDLDY5unJ7awPrBeQo4UwstCM83A5zFpump,2026-03-15 11:04,6.0209584832777765e-05,7.372446964701259e-05,6.0209584832777765e-05,7.137673120702149e-05,
ApwtY1HWHgDL,ApwtY1HWHgDLDY5unJ7awPrBeQo4UwstCM83A5zFpump,2026-03-15 11:05,7.137673120702149e-05,7.145768600821049e-05,7.026413341574211e-05,7.105939497065991e-05,
ApwtY1HWHgDL,ApwtY1HWHgDLDY5unJ7awPrBeQo4UwstCM83A5zFpump,2026-03-15 11:06,7.105939497065991e-05,7.169591585896893e-05,7.105939497065991e-05,7.169591585896893e-05,
ApwtY1HWHgDL,ApwtY1HWHgDLDY5unJ7awPrBeQo4UwstCM83A5zFpump,2026-03-15 11:07,7.169591585896893e-05,7.211689934504234e-05,7.066264879866287e-05,7.11222349808131e-05,
ApwtY1HWHgDL,ApwtY1HWHgDLDY5unJ7awPrBeQo4UwstCM83A5zFpump,2026-03-15 11:08,7.11222349808131e-05,7.11222349808131e-05,6.732844773182941e-05,6.732844773182941e-05,
ApwtY1HWHgDL,ApwtY1HWHgDLDY5unJ7awPrBeQo4UwstCM83A5zFpump,2026-03-15 11:09,6.732844773182941e-05,6.882073703590836e-05,6.72679789515935e-05,6.790644683603807e-05,
ApwtY1HWHgDL,ApwtY1HWHgDLDY5unJ7awPrBeQo4UwstCM83A5zFpump,2026-03-15 11:10,6.790644683603807e-05,6.973845927896646e-05,6.790644683603807e-05,6.888892468092505e-05,
ApwtY1HWHgDL,ApwtY1HWHgDLDY5unJ7awPrBeQo4UwstCM83A5zFpump,2026-03-15 11:11,6.888892468092505e-05,6.985730968769081e-05,6.857107416515449e-05,6.857107416515449e-05,
ApwtY1HWHgDL,ApwtY1HWHgDLDY5unJ7awPrBeQo4UwstCM83A5zFpump,2026-03-15 11:12,6.857107416515449e-05,6.857107416515449e-05,6.777265921520447e-05,6.844316022448518e-05,
